,RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,id,team_img,player_img
354,355,Mason Plumlee,LAC,C,46,14.7,5.3,1.9,3.3,56.9,0.0,0.1,0.0,1.5,2.2,70.7,5.1,1.2,0.3,0.4,0.8,2,0,2488653,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2488653.png&w=350&h=254
355,356,Stanley Umude,DET,G,24,12.8,5.3,1.5,3.5,44.0,1.0,2.2,45.3,1.2,1.3,90.6,2.1,0.5,0.3,0.3,0.6,0,0,4279532,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4279532.png&w=350&h=254
356,357,Xavier Tillman,BOS/MEM,F,54,18.1,5.3,2.2,5.2,43.4,0.4,1.5,24.7,0.4,0.9,44.0,3.9,1.4,0.9,0.8,0.6,2,0,4277964,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277964.png&w=350&h=254
357,358,Brandon Boston Jr.,LAC,SG,32,10.8,5.2,2.0,5.0,40.4,0.4,1.6,26.9,0.7,1.0,69.7,1.6,0.4,0.3,0.3,0.8,0,0,4432162,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432162.png&w=350&h=254
358,359,Aleksej Pokusevski,OKC/CHA,F,28,14.5,5.2,1.8,4.3,40.5,0.6,2.0,32.7,1.1,1.5,73.2,3.2,1.3,0.5,0.5,0.7,0,0,4683018,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683018.png&w=350&h=254
359,360,Bol Bol,PHX,C,43,10.9,5.2,2.2,3.5,61.6,0.5,1.2,42.3,0.3,0.4,78.9,3.2,0.4,0.2,0.6,0.4,1,0,4397102,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397102.png&w=350&h=254
360,361,Jarred Vanderbilt,LAL,PF,29,20.0,5.2,2.0,3.9,51.8,0.3,0.9,29.6,0.8,1.2,66.7,4.8,1.2,1.2,0.2,1.0,0,0,4278077,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278077.png&w=350&h=254
361,362,Seth Curry,DAL/CHA,SG,44,14.0,5.1,1.8,4.6,39.2,0.9,2.5,35.2,0.6,0.7,90.3,1.5,1.0,0.5,0.1,0.5,0,0,2326307,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2326307.png&w=350&h=254
362,363,D.J. Wilson,PHI,F,2,7.5,5.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,3136491,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136491.png&w=350&h=254
363,364,Kobi Simmons,TOR,G,4,16.8,5.0,2.3,5.3,42.9,0.5,2.0,25.0,0.0,0.0,0.0,1.8,3.0,1.5,0.5,0.3,0,0,4066335,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066335.png&w=350&h=254
364,365,Jalen Wilson,BKN,F,43,15.5,5.0,1.8,4.2,42.5,0.6,1.7,32.4,0.9,1.1,82.6,3.0,1.0,0.3,0.1,0.4,1,0,4431714,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431714.png&w=350&h=254
365,366,Richaun Holmes,WSH/DAL,F,40,13.9,5.0,2.1,3.7,55.8,0.0,0.1,33.3,0.9,1.2,72.3,4.6,0.6,0.3,0.5,0.6,4,0,2993370,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2993370.png&w=350&h=254
366,367,Monte Morris,MIN/DET,PG,33,14.4,5.0,1.9,4.6,40.5,0.8,2.1,38.6,0.4,0.6,68.4,1.7,2.1,0.6,0.3,0.2,0,0,3059310,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3059310.png&w=350&h=254
367,368,Devonte' Graham,SA,PG,23,13.6,5.0,1.7,4.7,35.2,1.1,3.6,30.1,0.6,0.7,81.3,1.6,2.1,0.4,0.1,0.7,0,0,3133601,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133601.png&w=350&h=254
368,369,Isaiah Livers,WSH/DET,PF,23,20.4,5.0,1.7,5.0,34.5,1.0,3.3,28.6,0.5,0.8,66.7,2.1,1.1,0.6,0.2,0.7,0,0,4277957,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277957.png&w=350&h=254
369,370,Jock Landale,HOU,C,56,13.6,4.9,1.9,3.7,51.5,0.2,0.7,25.0,0.9,1.2,80.0,3.1,1.2,0.4,0.6,0.6,1,0,3146557,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3146557.png&w=350&h=254
370,371,Jared Rhoden,DET,G,17,14.4,4.9,1.9,3.9,50.0,0.7,1.8,38.7,0.3,0.5,62.5,1.9,0.8,0.2,0.8,0.4,0,0,4397119,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397119.png&w=350&h=254
371,372,Eugene Omoruyi,WSH,F,43,9.1,4.8,1.9,3.9,48.5,0.3,1.1,28.3,0.7,1.1,65.3,2.0,0.8,0.6,0.1,0.5,1,0,4066410,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066410.png&w=350&h=254
372,373,DeJon Jarreau,MEM,F,9,16.7,4.8,1.9,5.6,34.0,0.4,1.4,30.8,0.6,1.2,45.5,4.9,2.9,0.7,0.2,1.0,0,0,4066796,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066796.png&w=350&h=254
373,374,Kobe Bufkin,ATL,G,17,11.5,4.8,2.0,5.4,37.0,0.5,2.4,22.5,0.2,0.5,50.0,1.9,1.6,0.4,0.3,0.6,0,0,4683736,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683736.png&w=350&h=254
374,375,Omer Yurtseven,UTAH,C,48,11.4,4.6,2.1,3.8,53.8,0.1,0.5,20.8,0.4,0.6,67.9,4.3,0.6,0.2,0.4,0.8,2,0,3074213,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3074213.png&w=350&h=254
375,376,Kenneth Lofton Jr.,UTAH/MEM/PHI,F,21,9.4,4.6,1.7,3.7,46.2,0.3,1.1,29.2,0.8,1.2,65.4,1.8,1.6,0.3,0.2,0.7,0,0,4585610,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4585610.png&w=350&h=254
376,377,Julian Strawther,DEN,G,50,10.9,4.5,1.6,4.4,36.9,0.8,2.8,29.7,0.4,0.6,71.0,1.2,0.9,0.3,0.1,0.5,0,0,4432181,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432181.png&w=350&h=254
377,378,Shake Milton,MIN/NY/DET,SG,48,12.1,4.5,1.6,4.1,40.5,0.4,1.3,28.1,0.8,1.0,81.6,1.6,1.3,0.4,0.1,0.6,0,0,3915195,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3915195.png&w=350&h=254
378,379,Taze Moore,POR,G,4,10.0,4.5,2.0,4.8,42.1,0.3,1.8,14.3,0.3,0.5,50.0,2.0,1.3,0.5,0.0,0.8,0,0,4066808,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066808.png&w=350&h=254
379,380,AJ Green,MIL,G,56,11.0,4.5,1.5,3.5,42.3,1.2,3.0,40.8,0.3,0.3,89.5,1.1,0.5,0.2,0.1,0.2,0,0,4397475,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397475.png&w=350&h=254
380,381,Delon Wright,MIA/WSH,SG,47,15.8,4.5,1.6,4.0,39.4,0.5,1.4,36.8,0.8,1.0,82.2,1.8,2.5,1.1,0.2,0.3,0,0,3064447,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064447.png&w=350&h=254
381,382,Patrick Baldwin Jr.,WSH,F,38,13.0,4.4,1.6,4.1,38.1,0.8,2.6,32.0,0.5,0.8,69.0,3.2,0.8,0.5,0.4,0.5,2,0,4433246,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433246.png&w=350&h=254
382,383,Maxi Kleber,DAL,PF,43,20.3,4.4,1.5,3.4,43.2,0.7,2.1,34.8,0.8,1.1,70.2,3.3,1.6,0.4,0.7,0.7,1,0,2960236,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2960236.png&w=350&h=254
383,384,Mo Bamba,PHI,C,57,13.0,4.4,1.7,3.5,49.0,0.4,1.1,39.1,0.6,0.9,68.0,4.2,0.7,0.4,1.1,0.7,1,0,4277919,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277919.png&w=350&h=254
384,385,Lester Quinones,GS,G,37,10.6,4.4,1.5,3.8,39.7,0.9,2.4,36.4,0.5,0.8,69.0,1.9,1.0,0.2,0.1,0.5,0,0,4431720,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431720.png&w=350&h=254
385,386,Jontay Porter,TOR,C,26,13.8,4.4,1.5,4.0,38.5,0.8,2.3,33.3,0.6,0.7,83.3,3.2,2.3,0.8,0.8,0.8,0,0,4278103,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278103.png&w=350&h=254
386,387,Ben Sheppard,IND,G,57,14.3,4.4,1.6,4.0,39.3,0.9,2.7,31.4,0.4,0.5,88.5,1.6,0.9,0.6,0.0,0.3,0,0,4433076,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433076.png&w=350&h=254
387,388,MarJon Beauchamp,MIL,F,48,12.7,4.4,1.7,3.5,48.8,0.6,1.6,40.0,0.4,0.6,67.9,2.1,0.6,0.3,0.1,0.6,0,0,4432179,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432179.png&w=350&h=254
388,389,Robert Covington,LAC/PHI,PF,29,16.8,4.4,1.5,3.4,43.9,0.7,1.9,33.9,0.8,0.9,84.6,3.3,0.8,1.3,0.6,0.4,0,0,2490620,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490620.png&w=350&h=254
389,390,Dominick Barlow,SA,F,33,12.7,4.4,1.7,3.4,49.6,0.1,0.3,33.3,0.9,1.3,69.0,3.4,1.1,0.4,0.4,0.3,0,0,4870562,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4870562.png&w=350&h=254
390,391,Bismack Biyombo,OKC/MEM,C,40,19.8,4.4,1.9,3.3,56.5,0.0,0.0,0.0,0.7,1.4,48.1,5.2,1.3,0.3,0.9,1.1,2,0,6427,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6427.png&w=350&h=254
391,392,Jeff Dowtin Jr.,PHI,G,12,11.8,4.3,1.7,3.0,55.6,0.8,1.6,47.4,0.3,0.3,75.0,1.7,2.3,0.6,0.1,0.4,0,0,4066786,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066786.png&w=350&h=254
392,393,Dru Smith,MIA,G,9,14.6,4.3,1.7,3.7,45.5,0.8,1.9,41.2,0.2,0.2,100.0,1.6,1.6,1.0,0.3,0.6,0,0,4066993,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066993.png&w=350&h=254
393,394,John Konchar,MEM,SG,55,21.3,4.3,1.6,3.8,42.3,0.7,2.2,31.7,0.4,0.5,84.0,4.7,2.0,0.9,0.9,0.8,1,0,3134932,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3134932.png&w=350&h=254
394,395,Danuel House Jr.,PHI,SF,34,15.0,4.2,1.4,3.1,44.8,0.4,1.5,30.0,1.0,1.4,76.1,1.7,0.8,0.4,0.1,0.6,0,0,2991155,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991155.png&w=350&h=254
395,396,Jacob Gilyard,BKN/MEM,G,41,17.0,4.2,1.5,3.7,40.0,1.2,3.1,40.5,0.0,0.0,100.0,1.1,3.3,0.8,0.1,0.7,0,0,4278378,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278378.png&w=350&h=254
396,397,Ashton Hagans,POR,G,19,16.6,4.2,1.5,3.7,40.8,0.4,1.3,32.0,0.7,0.9,82.4,2.4,2.8,0.6,0.5,1.6,0,0,4395722,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395722.png&w=350&h=254
397,398,Armoni Brooks,BKN,G,10,10.4,4.2,1.5,4.6,32.6,1.1,3.2,34.4,0.1,0.2,50.0,1.8,0.5,0.1,0.1,0.3,0,0,4066450,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bkn.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066450.png&w=350&h=254
398,399,Thaddeus Young,TOR/PHX,F,33,13.3,4.2,2.0,3.3,60.2,0.0,0.2,14.3,0.2,0.5,40.0,3.1,1.7,0.7,0.2,0.5,0,0,3244,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phx.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3244.png&w=350&h=254
399,400,Sandro Mamukelashvili,SA,PF,46,9.8,4.1,1.6,3.4,47.1,0.4,1.4,29.7,0.5,0.7,73.5,3.2,1.1,0.2,0.3,0.4,3,0,4278580,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278580.png&w=350&h=254
400,401,Luka Samanic,UTAH,F,43,9.4,4.1,1.4,3.7,38.0,0.3,1.5,20.3,1.0,1.3,78.6,2.4,0.4,0.1,0.2,0.7,1,0,4423309,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4423309.png&w=350&h=254
401,402,Skylar Mays,POR/LAL,SG,38,11.4,4.1,1.7,4.2,39.6,0.4,1.4,29.6,0.3,0.4,76.5,1.1,2.2,0.6,0.1,0.5,2,0,4066269,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lal.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066269.png&w=350&h=254
402,403,Ousmane Dieng,OKC,F,33,11.1,4.0,1.5,3.5,42.2,0.6,2.1,30.0,0.4,0.5,87.5,1.5,1.1,0.2,0.2,0.6,0,0,4997526,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/okc.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4997526.png&w=350&h=254
403,404,JaVale McGee,SAC,C,46,7.4,4.0,1.7,2.9,59.8,0.0,0.2,14.3,0.6,1.0,57.8,2.7,0.4,0.3,0.4,0.7,0,0,3452,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3452.png&w=350&h=254
404,405,Izaiah Brockington,NO,G,1,3.0,4.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,4278412,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278412.png&w=350&h=254
405,406,Matt Hurt,MEM,F,8,14.1,4.0,1.5,4.3,35.3,0.6,2.5,25.0,0.4,0.4,100.0,2.0,0.5,0.4,0.4,0.3,0,0,4431673,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431673.png&w=350&h=254
406,407,Adama Sanogo,CHI,C,9,7.3,4.0,1.6,3.0,51.9,0.0,0.0,0.0,0.9,1.3,66.7,4.0,0.0,0.1,0.0,0.6,1,0,4702023,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/chi.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4702023.png&w=350&h=254
407,408,Mouhamed Gueye,ATL,F,6,12.2,4.0,1.3,3.8,34.8,0.5,1.5,33.3,0.8,1.0,83.3,3.7,0.7,0.8,0.7,0.2,0,0,4712863,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4712863.png&w=350&h=254
408,409,Rayan Rupert,POR,G,39,16.2,4.0,1.4,4.1,33.5,0.7,2.0,35.9,0.5,0.6,76.0,2.4,1.6,0.3,0.1,0.8,0,0,5099752,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5099752.png&w=350&h=254
409,410,Patty Mills,ATL/MIA,PG,32,13.0,4.0,1.4,4.1,35.1,0.8,2.7,27.6,0.3,0.3,100.0,1.1,1.1,0.6,0.0,0.5,0,0,4004,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4004.png&w=350&h=254
410,411,Luka Garza,MIN,C,25,4.9,4.0,1.4,3.0,48.0,0.4,1.3,28.1,0.7,1.0,72.0,1.2,0.2,0.2,0.0,0.2,0,0,4277951,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277951.png&w=350&h=254
411,412,Svi Mykhailiuk,BOS,SG,41,10.1,4.0,1.4,3.3,41.6,1.0,2.6,38.9,0.1,0.2,66.7,1.2,0.9,0.3,0.0,0.3,0,0,3133602,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133602.png&w=350&h=254
412,413,DeAndre Jordan,DEN,C,36,11.0,3.9,1.6,2.6,62.4,0.0,0.0,0.0,0.7,1.5,49.1,4.4,0.7,0.2,0.4,0.6,1,0,3442,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3442.png&w=350&h=254
413,414,Jules Bernard,WSH,G,19,7.8,3.9,1.5,3.4,45.3,0.6,1.5,37.9,0.3,0.5,55.6,1.4,0.8,0.2,0.1,0.4,0,0,4397127,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397127.png&w=350&h=254
414,415,Anthony Gill,WSH,PF,50,9.3,3.8,1.5,3.2,46.9,0.2,0.8,24.4,0.6,0.7,80.6,1.9,0.7,0.3,0.2,0.5,0,0,2581184,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/wsh.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2581184.png&w=350&h=254
415,416,Sidy Cissoko,SA,G,12,11.8,3.8,1.3,2.8,48.5,0.1,1.0,8.3,1.0,1.3,80.0,1.8,0.8,0.6,0.3,0.3,0,0,5081727,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5081727.png&w=350&h=254
416,417,Jamal Cain,MIA,F,26,10.0,3.7,1.3,3.0,43.0,0.4,1.2,35.5,0.7,0.9,78.3,1.4,0.4,0.4,0.2,0.3,0,0,4278572,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278572.png&w=350&h=254
417,418,T.J. Warren,MIN,SF,11,11.4,3.7,1.6,3.7,43.9,0.2,1.2,15.4,0.3,0.4,75.0,2.0,0.8,0.4,0.1,0.4,0,0,2982334,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2982334.png&w=350&h=254
418,419,Keita Bates-Diop,BKN/PHX,SF,53,12.5,3.7,1.4,3.1,43.4,0.4,1.3,30.4,0.6,0.8,76.2,2.1,0.7,0.5,0.4,0.3,0,0,3136779,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ny.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3136779.png&w=350&h=254
419,420,Drew Peterson,BOS,F,3,7.7,3.7,1.3,2.0,66.7,1.0,1.7,60.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.3,0,0,4397689,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397689.png&w=350&h=254
420,421,Oshae Brissett,BOS,SF,55,11.5,3.7,1.2,2.8,44.4,0.3,1.0,27.3,0.9,1.5,60.2,2.9,0.8,0.3,0.1,0.4,0,0,4278031,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278031.png&w=350&h=254
421,422,Jarace Walker,IND,F,33,10.3,3.6,1.4,3.3,40.9,0.7,1.7,40.0,0.2,0.3,88.9,1.9,1.2,0.5,0.3,0.5,0,0,5106060,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5106060.png&w=350&h=254
