,RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,id,team_img,player_img
192,193,Cedi Osman,SA,SF,72,17.6,6.8,2.6,5.3,47.9,1.2,3.1,38.9,0.5,0.7,67.3,2.5,1.7,0.5,0.2,0.7,0,0,3893016,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3893016.png&w=350&h=254
193,194,Jonathan Isaac,ORL,PF,58,15.8,6.8,2.5,4.9,51.0,0.7,1.9,37.5,1.0,1.4,72.0,4.5,0.5,0.7,1.2,0.5,0,0,4065654,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065654.png&w=350&h=254
194,195,Peyton Watson,DEN,F,80,18.6,6.7,2.6,5.6,46.5,0.6,1.9,29.6,0.9,1.3,67.0,3.2,1.1,0.5,1.1,0.7,0,0,4576087,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4576087.png&w=350&h=254
195,196,Amir Coffey,LAC,SG,70,20.9,6.6,2.4,5.0,47.2,1.0,2.6,38.0,0.9,1.0,85.9,2.1,1.1,0.6,0.2,0.5,1,0,4066387,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/lac.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066387.png&w=350&h=254
196,197,Aaron Holiday,HOU,G,78,16.3,6.6,2.4,5.3,44.6,1.1,2.8,38.7,0.7,0.8,92.1,1.6,1.8,0.5,0.1,0.7,0,0,3922230,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3922230.png&w=350&h=254
197,198,David Roddy,MEM/PHX,F,65,18.1,6.5,2.5,6.3,40.3,0.7,2.5,29.3,0.7,1.0,69.1,3.2,1.2,0.4,0.2,0.9,0,0,4593041,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/atl.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4593041.png&w=350&h=254
198,199,Jeff Green,HOU,PF,78,16.8,6.5,2.1,4.7,45.6,0.7,2.1,33.1,1.6,1.9,81.9,2.3,0.9,0.2,0.4,0.6,0,0,3209,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/hou.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3209.png&w=350&h=254
199,200,Kyle Anderson,MIN,SF,79,22.6,6.4,2.5,5.5,46.0,0.1,0.6,22.9,1.2,1.7,70.8,3.5,4.2,0.9,0.6,1.2,0,0,2993874,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/gs.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2993874.png&w=350&h=254
200,201,Isaiah Jackson,IND,SF,60,12.9,6.4,2.6,3.9,66.5,0.0,0.1,0.0,1.2,1.7,71.6,4.0,0.8,0.6,1.0,0.7,4,0,4432170,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/ind.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432170.png&w=350&h=254
201,202,Daniel Theis,IND/LAC,C,60,16.9,6.3,2.6,4.9,53.2,0.4,1.2,36.6,0.6,0.8,76.0,4.1,1.0,0.4,0.9,0.7,1,0,2451037,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2451037.png&w=350&h=254
202,203,Patrick Beverley,MIL/PHI,PG,73,20.0,6.2,2.2,5.2,41.7,0.8,2.5,33.7,1.0,1.2,82.2,3.3,2.9,0.6,0.4,0.9,2,0,3964,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3964.png&w=350&h=254
