RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
2430,Paige Cote,UNH,C,28,9.3,3.2,1.1,2.8,40.3,0.1,0.3,25.0,0.9,1.3,71.4,1.5,0.4,0.3,0.5,1.0,4704608,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704608.png&w=350&h=254
2431,Carla Flores,WIU,G,29,12.8,3.2,1.0,2.3,44.1,0.7,1.5,48.8,0.4,0.5,78.6,1.4,1.0,0.7,0.2,0.9,4595912,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595912.png&w=350&h=254
2432,Sophie Dziekan,BGSU,F,29,14.0,3.2,1.3,2.2,56.9,0.0,0.0,0.0,0.6,1.0,62.1,2.8,0.8,0.3,0.6,1.2,4704863,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704863.png&w=350&h=254
2433,Ashlyn Jones,UL,F,29,16.9,3.2,1.2,3.3,35.4,0.0,0.0,0.0,0.8,1.5,55.8,2.6,0.3,0.4,0.1,1.0,4900375,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900375.png&w=350&h=254
2434,Momo LaClair,DREX,G,30,17.8,3.2,1.4,3.0,45.6,0.0,0.0,0.0,0.4,0.5,81.3,2.5,1.5,0.5,0.2,0.7,4899567,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899567.png&w=350&h=254
2435,Hannah Linthacum,MIZ,F,30,12.8,3.2,1.1,2.0,57.6,0.1,0.4,33.3,0.8,1.2,63.9,2.4,0.4,0.2,0.2,1.1,5174278,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174278.png&w=350&h=254
2436,Leia Hanafin,SMC,G,31,24.1,3.2,1.3,2.8,44.3,0.5,1.4,32.6,0.2,0.4,46.2,3.4,1.6,2.0,0.4,1.0,4703840,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703840.png&w=350&h=254
2437,Meghan Casey,BING,G,31,21.5,3.2,1.2,3.6,33.6,0.4,1.8,21.4,0.3,0.5,58.8,2.2,2.4,0.8,0.0,0.8,5107552,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107552.png&w=350&h=254
2438,Cristen Carter,BUT,F,31,11.7,3.2,1.3,2.9,45.1,0.0,0.0,0.0,0.5,1.1,48.5,3.5,0.7,0.3,0.7,1.0,5175047,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175047.png&w=350&h=254
2439,Gracie Barnes,UPST,G,31,13.0,3.2,1.3,3.9,32.8,0.3,1.1,29.4,0.3,0.3,80.0,0.7,0.4,0.1,0.0,1.3,5175924,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175924.png&w=350&h=254
2440,Courtney Ogden,STAN,F,31,12.0,3.2,1.2,3.1,38.5,0.5,1.6,32.0,0.3,0.4,66.7,1.9,1.2,0.2,0.1,0.7,5175936,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175936.png&w=350&h=254
2441,Tene Smith,EVAN,G,32,19.2,3.2,1.0,3.9,25.0,0.4,1.9,21.0,0.8,1.3,61.9,0.8,1.3,0.5,0.0,2.0,5178239,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178239.png&w=350&h=254
2442,Tiara Abron,CCU,G,26,18.1,3.2,1.2,4.0,29.5,0.3,1.6,17.1,0.5,0.9,56.5,1.0,1.2,0.7,0.1,2.5,5174722,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174722.png&w=350&h=254
2443,Rose Bubakar,BYU,F,33,14.6,3.2,1.1,3.0,35.4,0.3,1.3,23.8,0.7,1.1,66.7,1.9,1.1,0.5,0.2,1.1,4898432,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898432.png&w=350&h=254
2444,Carmyn Harrison,BEL,F,35,14.8,3.1,1.2,2.5,48.9,0.0,0.0,0.0,0.7,1.1,61.5,3.2,1.2,0.8,1.0,1.3,4434001,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4434001.png&w=350&h=254
2445,Jordyn Marshall,UCR,G,28,17.0,3.1,1.1,4.0,27.9,0.2,1.0,21.4,0.7,0.9,83.3,1.3,1.3,0.4,0.1,1.6,5108741,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108741.png&w=350&h=254
2446,Laurel Rockwood,UCSB,C,30,19.8,3.1,1.2,2.4,49.3,0.0,0.0,0.0,0.7,1.0,73.3,4.2,0.1,0.3,0.3,1.1,4899738,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899738.png&w=350&h=254
2447,Jiya Perry,SMU,G,30,13.6,3.1,1.2,3.2,36.1,0.3,1.2,21.6,0.5,0.6,84.2,2.1,0.5,0.3,0.2,0.6,5107569,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107569.png&w=350&h=254
2448,Tiairra Hill-Brown,USU,G,30,15.0,3.1,1.3,3.3,40.0,0.2,0.7,23.8,0.3,0.6,47.4,2.8,0.3,0.5,0.3,1.3,5109828,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5109828.png&w=350&h=254
2449,Laynee Torres-Kahapea,PRST,G,31,20.9,3.1,1.0,3.6,28.6,0.4,1.7,23.1,0.7,1.1,60.0,1.2,0.9,0.3,0.1,1.1,5176460,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5176460.png&w=350&h=254
2450,Keiori Lee,UTA,G,33,15.1,3.1,1.2,3.9,32.0,0.1,0.7,13.0,0.5,0.7,78.3,2.6,0.9,0.5,0.2,0.6,5175519,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175519.png&w=350&h=254
2451,Anna Brown,DRKE,G,35,11.8,3.1,0.9,2.8,34.0,0.7,2.3,31.7,0.5,0.6,85.0,0.7,0.7,0.2,0.0,0.5,4595601,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595601.png&w=350&h=254
2452,Kendall Moriarty,NEB,G,35,14.8,3.1,1.1,2.8,38.8,0.3,1.1,23.1,0.7,1.0,70.6,1.3,1.1,0.5,0.0,0.9,4899055,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899055.png&w=350&h=254
2453,Harley Paynter,TNTC,G,27,11.6,3.1,1.1,2.9,37.7,0.4,1.4,28.2,0.6,0.6,88.2,1.1,1.4,0.7,0.1,1.4,4900372,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4900372.png&w=350&h=254
2454,Jayla James,MAN,G,28,11.3,3.1,1.2,4.4,26.8,0.5,2.3,23.1,0.2,0.3,66.7,1.7,1.0,0.5,0.0,1.8,4433670,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433670.png&w=350&h=254
2455,Bella Hays,EWU,PF,28,10.0,3.1,1.4,2.6,54.8,0.0,0.0,0.0,0.3,0.7,36.8,2.4,0.4,0.4,0.3,0.7,5107636,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107636.png&w=350&h=254
2456,Shannon Fornshell,DRKE,G,35,14.7,3.1,1.2,3.1,37.6,0.5,1.5,34.0,0.2,0.3,80.0,2.8,0.7,0.2,0.4,0.9,5178011,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178011.png&w=350&h=254
2457,Aminata Diakite,TOW,G,25,12.0,3.1,1.2,3.6,31.9,0.2,1.0,19.2,0.6,0.7,82.4,1.2,0.5,0.5,0.0,0.6,5177795,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177795.png&w=350&h=254
2458,Madison Royal-Davis,OAK,G,27,17.0,3.1,1.1,2.7,40.3,0.0,0.2,0.0,0.9,1.5,62.5,3.0,0.6,1.6,0.7,0.7,4899002,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899002.png&w=350&h=254
2459,Ashton McCorry,RGV,F,29,16.3,3.1,1.1,3.9,28.6,0.5,2.3,20.6,0.4,0.5,73.3,2.0,1.2,0.3,0.1,0.9,5108130,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108130.png&w=350&h=254
2460,Ciante Downs,MER,G,29,25.9,3.1,1.3,4.0,32.2,0.0,0.1,0.0,0.5,0.7,71.4,4.2,1.3,1.2,0.0,1.2,5176534,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5176534.png&w=350&h=254
2461,Kaci Chairs,GRAM,G,30,11.5,3.1,1.1,3.8,28.1,0.6,2.4,26.8,0.3,0.6,52.9,1.6,0.6,0.2,0.0,0.7,4704665,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704665.png&w=350&h=254
2462,Sarah Hammack Fitzgerald,CAM,F,30,8.8,3.1,1.2,3.2,37.5,0.2,1.0,24.1,0.4,0.5,81.3,1.6,0.5,0.3,0.1,1.0,4704804,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704804.png&w=350&h=254
2463,Lucia Sotelo Miguez,VCU,F,32,17.8,3.1,1.3,2.6,49.4,0.2,0.3,50.0,0.3,0.5,64.7,2.6,0.8,0.6,0.2,1.7,5174402,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174402.png&w=350&h=254
2464,Charlotte Whittaker,COLO,F,33,11.4,3.1,1.4,2.8,48.9,0.1,0.4,16.7,0.3,0.5,52.9,2.1,0.6,0.3,0.3,0.8,4595866,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595866.png&w=350&h=254
2465,Nseije Ortiz,CSUB,G,22,22.8,3.0,1.1,2.4,48.1,0.5,1.2,38.5,0.3,0.4,77.8,2.1,2.4,1.5,0.1,1.8,5108715,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108715.png&w=350&h=254
2466,MaKenzie Drout,APP,G,24,7.1,3.0,1.0,2.5,41.0,0.3,1.2,28.6,0.6,0.9,71.4,1.2,0.2,0.3,0.0,1.0,5174716,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174716.png&w=350&h=254
2467,Emma Tecca,VAL,G,25,13.6,3.0,0.9,2.3,39.7,0.7,1.9,37.5,0.5,0.6,85.7,1.3,0.7,0.3,0.2,0.6,4595217,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4595217.png&w=350&h=254
2468,Makennah White,HALL,F,25,12.5,3.0,1.4,2.7,50.0,0.0,0.1,0.0,0.3,0.8,42.1,3.1,0.5,0.4,0.1,0.7,4704145,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704145.png&w=350&h=254
2469,Danelle Arigbabu,WVU,F,27,11.0,3.0,1.2,2.1,57.9,0.0,0.0,0.0,0.6,0.9,69.6,2.0,0.4,0.2,0.5,0.7,4704396,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704396.png&w=350&h=254
2470,Sera Hodgson,ME,G,27,14.1,3.0,1.0,2.5,41.8,0.7,1.7,40.4,0.3,0.4,70.0,1.1,0.4,0.4,0.0,0.8,4898962,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898962.png&w=350&h=254
2471,Bailey Williams,LONG,PG,30,21.0,3.0,1.0,2.9,36.0,0.0,0.2,14.3,0.9,1.4,66.7,2.3,2.0,1.0,0.1,1.1,4704993,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704993.png&w=350&h=254
2472,Lenee Beaumont,IU,G,30,9.6,3.0,1.1,2.1,51.6,0.1,0.5,25.0,0.7,1.0,70.0,0.7,0.6,0.2,0.0,0.4,5175680,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175680.png&w=350&h=254
2473,Lara Langermann,UNM,G,32,20.2,3.0,1.0,3.0,32.0,0.6,2.2,29.0,0.5,0.7,71.4,1.4,0.8,0.3,0.0,1.0,5177268,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177268.png&w=350&h=254
2474,Izabela Nicoletti Leite,FAIR,G,33,23.0,3.0,1.0,2.7,37.8,0.3,1.4,20.0,0.7,0.9,79.3,3.0,3.7,0.9,0.1,1.8,4398584,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4398584.png&w=350&h=254
2475,Makayla Jackson,DETM,G,33,13.6,3.0,1.1,3.4,33.3,0.2,1.3,19.0,0.5,0.8,66.7,1.2,0.6,0.4,0.2,1.3,5177883,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177883.png&w=350&h=254
2476,Kristian Young,UIC,G,34,21.9,3.0,0.9,3.0,29.4,0.1,0.9,6.7,1.2,2.5,48.8,2.8,3.7,1.4,0.1,1.9,4704173,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704173.png&w=350&h=254
2477,Emma Koabel,DUKE,G,34,12.2,3.0,1.1,3.1,35.8,0.7,2.1,31.9,0.1,0.2,57.1,1.1,0.7,0.7,0.3,0.6,5106233,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5106233.png&w=350&h=254
2478,Samantha Robinson,VCU,F,30,12.8,3.0,1.3,2.9,44.3,0.0,0.0,0.0,0.4,0.6,63.2,2.5,0.6,0.2,0.2,1.1,4399312,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4399312.png&w=350&h=254
2479,Taiyier Parks,OSU,F,30,8.9,3.0,1.2,2.7,46.3,0.0,0.1,0.0,0.5,0.9,57.1,2.1,0.3,0.5,0.2,0.5,4433335,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433335.png&w=350&h=254
2480,Timia Ware,UCF,G,23,14.7,3.0,1.0,3.5,28.4,0.3,1.4,25.0,0.7,1.0,65.2,1.4,1.0,0.3,0.0,1.6,4433812,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433812.png&w=350&h=254
2481,Cydney Johnson,HPU,G,30,17.1,3.0,0.9,3.0,31.5,0.4,1.6,22.4,0.8,0.9,85.2,2.0,0.5,0.7,0.2,1.1,4594893,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594893.png&w=350&h=254
2482,Adrianna Katcher,SIU,F,28,17.1,3.0,1.4,3.3,41.3,0.0,0.2,20.0,0.3,0.7,36.8,3.4,0.6,1.1,0.9,0.5,4704871,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704871.png&w=350&h=254
2483,Paris Mullins,NORF,F,32,13.3,3.0,1.1,2.8,40.9,0.0,0.2,0.0,0.8,1.1,70.6,2.3,0.3,0.3,0.2,0.9,4898609,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4898609.png&w=350&h=254
2484,Beatrice Culliton,OU,C,33,12.8,3.0,1.3,2.4,52.5,0.0,0.0,0.0,0.5,0.8,55.6,3.8,1.0,0.4,0.2,1.2,5106164,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5106164.png&w=350&h=254
2485,Kennedy Claybrooks,TXST,G,29,13.4,3.0,1.1,3.0,37.2,0.3,0.8,33.3,0.5,0.8,62.5,1.0,1.8,0.5,0.0,1.6,5108597,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5108597.png&w=350&h=254
2486,Loes Rozing,NMSU,G,31,18.9,3.0,1.2,3.4,36.5,0.1,1.0,13.3,0.4,0.6,68.4,2.5,0.7,0.3,0.1,1.5,5177814,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177814.png&w=350&h=254
2487,Nikola Priede,UVM,C,37,12.5,3.0,1.3,2.4,53.3,0.0,0.0,0.0,0.4,0.6,63.6,2.5,0.4,0.2,0.7,0.7,5107684,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107684.png&w=350&h=254
2488,Hadley Periman,TLSA,G,35,25.1,3.0,0.8,2.9,29.0,0.3,1.1,28.2,1.0,1.9,53.8,7.2,1.6,0.5,1.5,1.3,5107597,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107597.png&w=350&h=254
2489,Betzalys Delgado,NICH,G,31,16.7,3.0,1.3,4.7,26.5,0.3,1.8,16.4,0.2,0.5,35.7,3.1,2.0,1.2,0.2,1.8,5177997,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5177997.png&w=350&h=254
2490,Nicole Leff,TXST,F,30,11.8,3.0,1.1,3.2,33.0,0.2,0.7,23.8,0.7,1.1,58.8,1.9,0.6,0.3,0.3,1.0,4704056,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704056.png&w=350&h=254
2491,DJ Davis,UND,G,30,21.6,3.0,1.1,3.2,33.3,0.6,2.1,30.6,0.2,0.6,33.3,2.2,1.5,0.6,0.0,1.5,4899785,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4899785.png&w=350&h=254
2492,Marissa Steel,HOW,F,30,14.0,3.0,1.0,2.0,51.7,0.0,0.0,0.0,0.9,1.6,56.3,4.0,0.3,0.4,0.1,1.2,4901382,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4901382.png&w=350&h=254
2493,Claire Graham,ACU,G,30,12.7,3.0,1.1,3.1,35.1,0.7,2.2,30.3,0.1,0.1,100.0,1.9,0.6,0.5,0.0,0.7,5107942,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5107942.png&w=350&h=254
2494,Nene Ndiaye,BC,F,30,11.3,3.0,1.0,2.2,43.3,0.1,0.3,22.2,1.0,1.2,82.9,1.7,0.5,0.3,0.2,0.6,5174337,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5174337.png&w=350&h=254
2495,Maliyah Johnson,TA&M,F,29,14.2,3.0,1.2,3.6,32.7,0.0,0.1,0.0,0.6,1.3,48.6,3.1,0.8,0.3,0.2,0.7,4571937,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4571937.png&w=350&h=254
2496,Shomari Phillips,TXSO,G,29,15.3,3.0,1.1,4.1,26.3,0.6,2.6,22.7,0.2,0.4,53.8,2.3,0.4,0.5,0.1,0.7,5175553,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5175553.png&w=350&h=254
2497,Zoey Ward,IONA,F,29,11.6,3.0,1.2,2.7,43.6,0.2,0.6,27.8,0.4,0.9,52.0,1.7,0.7,0.2,0.1,1.0,5176871,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5176871.png&w=350&h=254
