RANK,NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,id,team_img,player_img
40,Anne Simon,ME,G,33,35.6,18.9,7.1,16.3,43.8,2.0,6.2,32.4,2.7,3.4,80.2,7.2,3.2,2.5,0.2,3.0,4594354,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/311.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594354.png&w=350&h=254
41,Georgia Amoore,VT,G,32,34.9,18.8,6.9,16.8,41.2,2.7,7.9,33.5,2.3,2.7,85.9,2.6,6.8,0.9,0.4,3.4,4704180,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704180.png&w=350&h=254
42,Ny'Ceara Pryor,SHU,G,34,32.6,18.7,6.9,14.8,46.4,0.3,1.5,20.0,4.7,6.6,71.7,7.1,4.5,3.4,0.2,2.1,5106084,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2529.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5106084.png&w=350&h=254
43,Liatu King,PITT,F,32,35.4,18.7,7.7,14.7,52.3,0.0,0.0,0.0,3.3,4.7,71.1,10.3,1.8,1.8,1.5,3.4,4596309,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4596309.png&w=350&h=254
44,Caitlin Weimar,BU,F,31,35.6,18.7,7.1,12.9,55.3,0.0,0.0,0.0,4.4,6.3,69.9,10.6,2.0,1.3,2.8,2.5,4704495,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/104.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4704495.png&w=350&h=254
45,Angel Reese,LSU,F,33,31.5,18.6,6.4,13.5,47.1,0.0,0.3,11.1,5.8,8.1,72.6,13.4,2.3,1.9,1.0,2.4,4433402,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433402.png&w=350&h=254
46,Ahriahna Grizzle,FAMU,PG,30,34.3,18.4,6.5,15.5,42.2,1.2,3.5,34.3,4.1,5.4,76.5,3.5,3.0,2.3,0.5,3.8,4594179,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/50.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4594179.png&w=350&h=254
47,Kaitlyn Zarycki,WMU,G,30,34.8,18.4,6.6,12.5,52.7,1.1,2.3,48.6,4.1,4.7,88.6,4.7,3.6,1.9,0.3,3.4,5178516,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2711.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/5178516.png&w=350&h=254
48,Unique Drake,SJU,G,33,36.2,18.4,6.7,15.8,42.4,2.4,6.5,36.9,2.5,3.1,82.4,2.2,1.4,0.7,0.2,1.7,4433332,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4433332.png&w=350&h=254
49,Faith Alston,APP,G,32,34.3,18.3,6.0,14.7,40.6,1.6,5.4,29.1,4.8,6.1,78.6,3.2,4.7,1.9,0.2,4.3,4703986,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://a.espncdn.com/combiner/i?img=/i/headshots/womens-college-basketball/players/full/4703986.png&w=350&h=254
